Requerimientos Funcionales,,,
,,,
ID,Requerimiento,Descripción,Prioridad
RF-01,Gestión de Autenticación,Permitir a los usuarios registrarse e iniciar sesión con roles diferenciados.,Alta
RF-02,Completar Perfil de Usuario,Solicitar al usuario completar su perfil básico tras el primer inicio de sesión.,Alta
RF-03,Gestión del Perfil de Negocio,Permitir al proveedor crear y actualizar la información de su negocio.,Alta
RF-04,Gestión de Servicios,"Permitir al proveedor definir los servicios que ofrece (nombre, duración, precio).",Alta
RF-05,Gestión de Horarios,Permitir al proveedor configurar su horario laboral estándar para la disponibilidad.,Alta
RF-06,Visualización de Calendario,Mostrar al proveedor un calendario con todas las citas agendadas.,Alta
RF-07,Búsqueda de Negocios,Permitir al cliente buscar y explorar los perfiles de los negocios registrados.,Media
RF-08,Reserva de Citas,"Permitir al cliente seleccionar negocio, servicio y horario para agendar una cita.",Alta
RF-09,Cancelación de Citas,"Permitir a cliente y proveedor cancelar una cita existente, notificando a la otra parte.",Media
RF-10,Historial de Citas,Permitir al cliente ver un listado de sus citas pasadas y futuras.,Media
RF-11,Notificaciones por Correo,Enviar notificaciones automáticas por correo para eventos clave.,Media
RF-12,Gestión de Empleados,"Permitir al proveedor crear, actualizar y gestionar empleados del negocio con horarios y avatares.",Alta
RF-13,Gestión de Ausencias de Empleados,Permitir registrar ausencias de empleados con motivos y fechas para gestión de disponibilidad.,Media
RF-14,Sistema de Múltiples Tipos de Clientes,"Soportar 3 tipos de clientes: Walk-in (sin cuenta), Registered (con cuenta TuTurno), y Business Client (base de datos privada del negocio).",Alta
RF-15,Base de Datos Privada de Clientes,Permitir al negocio gestionar su propia base de datos de clientes con búsqueda avanzada y exportación CSV.,Alta
RF-16,Generación Automática de Facturas,Crear facturas automáticamente cuando una cita se completa con numeración única (INV-YYYY-####).,Alta
RF-17,Sistema de Pagos Múltiples Métodos,"Permitir registrar pagos en efectivo o transferencia con validación de referencias únicas para transferencias.",Alta
RF-18,Checkout y Cobro de Citas,Proporcionar interfaz de cobro al finalizar citas con selección de método de pago y generación de comprobantes.,Alta
RF-19,Múltiples Servicios por Cita,Permitir agendar citas con múltiples servicios simultáneos con cálculo automático de duración y precio total.,Alta
RF-20,Edición y Reprogramación de Citas,"Permitir modificar citas existentes (fecha, hora, empleado, servicios) con notificación a las partes.",Alta
RF-21,Estados Avanzados de Citas,"Gestionar estados de citas: pending, confirmed, in_progress, completed, cancelled, no_show con flujos específicos.",Alta
RF-22,Configuración de Políticas de Cancelación,Permitir al negocio configurar políticas de cancelación (horas de anticipación) y permisos para clientes.,Media
RF-23,Restricciones de Reserva,Configurar booking anticipado mínimo y máximo para controlar ventana de reservas.,Media
RF-24,Gestión de Horarios Especiales,Permitir configurar días festivos y horarios especiales que sobrescriben el horario regular del negocio.,Media
RF-25,Sistema de Recordatorios Automáticos,Enviar recordatorios automáticos a clientes antes de sus citas por email (configurable en horas de anticipación).,Media
RF-26,Actualización en Tiempo Real (Realtime),Sincronizar cambios del calendario automáticamente entre múltiples usuarios sin refrescar la página usando WebSockets.,Alta
RF-27,Analytics y Reportes de Negocio,"Proporcionar dashboard con métricas: ventas, ingresos, citas completadas, servicios top, performance de empleados.",Alta
